2017-05-27 10:08:05.523 [Thread-0] INFO  appium - start appium
2017-05-27 10:08:17.513 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","settings","get","secure","default_input_method"]
2017-05-27 10:08:18.546 [Thread-0] INFO  appium - [debug] [AndroidDriver] Unsetting previous IME com.sohu.inputmethod.sogou.xiaomi/.SogouIME
2017-05-27 10:08:18.547 [Thread-0] INFO  appium - [debug] [AndroidDriver] Setting IME to 'io.appium.android.ime/.UnicodeIME'
2017-05-27 10:08:18.547 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:18.816 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:18.816 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","ime","enable","io.appium.android.ime/.UnicodeIME"]
2017-05-27 10:08:19.889 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:20.138 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:20.138 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","ime","set","io.appium.android.ime/.UnicodeIME"]
2017-05-27 10:08:21.126 [Thread-0] INFO  appium - [ADB] Getting device platform version
2017-05-27 10:08:21.126 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:21.375 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:21.376 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","getprop","ro.build.version.release"]
2017-05-27 10:08:21.640 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:21.903 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:21.903 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","wm","size"]
2017-05-27 10:08:22.890 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:23.136 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:23.136 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","getprop","ro.product.model"]
2017-05-27 10:08:23.410 [Thread-0] INFO  appium - [debug] [ADB] Current device property 'ro.product.model': Redmi Note 4
2017-05-27 10:08:23.410 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:23.657 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:23.657 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","getprop","ro.product.manufacturer"]
2017-05-27 10:08:23.945 [Thread-0] INFO  appium - [debug] [ADB] Current device property 'ro.product.manufacturer': Xiaomi
2017-05-27 10:08:23.946 [Thread-0] INFO  appium - [AndroidDriver] No app sent in, not parsing package/activity
2017-05-27 10:08:23.947 [Thread-0] INFO  appium - [debug] [AndroidDriver] No app capability. Assuming it is already on the device
2017-05-27 10:08:23.947 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Watching for bootstrap disconnect
2017-05-27 10:08:23.949 [Thread-0] INFO  appium - [debug] [ADB] Forwarding system: 4724 to device: 4724
2017-05-27 10:08:23.949 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","forward","tcp:4724","tcp:4724"]
2017-05-27 10:08:23.959 [Thread-0] INFO  appium - [debug] [UiAutomator] Starting UiAutomator
2017-05-27 10:08:23.960 [Thread-0] INFO  appium - [debug] [UiAutomator] Moving to state 'starting'
2017-05-27 10:08:23.961 [Thread-0] INFO  appium - [debug] [UiAutomator] Parsing uiautomator jar
2017-05-27 10:08:23.962 [Thread-0] INFO  appium - [debug] [UiAutomator] Found jar name: 'AppiumBootstrap.jar'
2017-05-27 10:08:23.963 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","push","C:\\Users\\sunsheng\\AppData\\Roaming\\npm\\node_modules\\appium\\node_modules\\appium-android-bootstrap\\bootstrap\\bin\\AppiumBootstrap.jar","/data/local/tmp/"]
2017-05-27 10:08:24.417 [Thread-0] INFO  appium - [debug] [ADB] Attempting to kill all uiautomator processes
2017-05-27 10:08:24.418 [Thread-0] INFO  appium - [debug] [ADB] Getting all processes with uiautomator
2017-05-27 10:08:24.419 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:24.668 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:24.668 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","ps"]
2017-05-27 10:08:25.024 [Thread-0] INFO  appium - [ADB] No uiautomator process found to kill, continuing...
2017-05-27 10:08:25.024 [Thread-0] INFO  appium - [debug] [UiAutomator] Starting UIAutomator
2017-05-27 10:08:25.025 [Thread-0] INFO  appium - [debug] [ADB] Creating ADB subprocess with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","uiautomator","runtest","AppiumBootstrap.jar","-c","io.appium.android.bootstrap.Bootstrap","-e","pkg","com.ymatou.shop","-e","disableAndroidWatchers",false,"-e","acceptSslCerts",false]
2017-05-27 10:08:25.730 [Thread-0] INFO  appium - [debug] [UiAutomator] Moving to state 'online'
2017-05-27 10:08:25.735 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Registered crash watchers.
2017-05-27 10:08:25.742 [Thread-0] INFO  appium - [AndroidBootstrap] Android bootstrap socket is now connected
2017-05-27 10:08:25.748 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:25.763 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Client connected
2017-05-27 10:08:26.008 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:26.008 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","dumpsys","window"]
2017-05-27 10:08:26.339 [Thread-0] INFO  appium - [AndroidDriver] Screen already unlocked, doing nothing
2017-05-27 10:08:26.345 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:26.598 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:26.599 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","getprop","ro.build.version.sdk"]
2017-05-27 10:08:26.874 [Thread-0] INFO  appium - [debug] [ADB] Device API level: 23
2017-05-27 10:08:26.875 [Thread-0] INFO  appium - [debug] [ADB] Getting connected devices...
2017-05-27 10:08:27.138 [Thread-0] INFO  appium - [debug] [ADB] 1 device(s) connected
2017-05-27 10:08:27.139 [Thread-0] INFO  appium - [debug] [ADB] Running 'E:\Appium\sdk\platform-tools\adb.exe' with args: ["-P",5037,"-s","INMN8TDIK7QKH6EI","shell","am","start","-W","-n","com.ymatou.shop/.ui.activity.SplashActivity","-S","-a","android.intent.action.MAIN","-c","android.intent.category.LAUNCHER","-f","0x10200000"]
2017-05-27 10:08:28.945 [Thread-0] INFO  appium - [Appium] New AndroidDriver session created successfully, session 16efe0ef-1bd6-4b9b-8f10-0179ac78710e added to master session list
2017-05-27 10:08:28.947 [Thread-0] INFO  appium - [debug] [BaseDriver] Event 'newSessionStarted' logged at 1495850908945 (10:08:28 GMT+0800 (中国标准时间))
2017-05-27 10:08:28.947 [Thread-0] INFO  appium - [debug] [MJSONWP] Responding to client with driver.createSession() result: {"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":false,"warnings":{},"desired":{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":30,"platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":true,"platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true},"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":30,"platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":true,"platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true,"deviceUDID":"INMN8TDIK7QKH6EI","deviceScreenSize":"1080x1920","deviceModel":"Redmi Note 4","deviceManufacturer":"Xiaomi"}
2017-05-27 10:08:28.966 [Thread-0] INFO  appium - [HTTP] <-- POST /wd/hub/session 200 17066 ms - 969 
2017-05-27 10:08:29.000 [Thread-0] INFO  appium - [HTTP] --> GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e {}
2017-05-27 10:08:29.001 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.getSession() with args: ["16efe0ef-1bd6-4b9b-8f10-0179ac78710e"]
2017-05-27 10:08:29.002 [Thread-0] INFO  appium - [debug] [MJSONWP] Responding to client with driver.getSession() result: {"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":false,"warnings":{},"desired":{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":30,"platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":true,"platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true},"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":30,"platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":true,"platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true,"deviceUDID":"INMN8TDIK7QKH6EI","deviceScreenSize":"1080x1920","deviceModel":"Redmi Note 4","deviceManufacturer":"Xiaomi"}
2017-05-27 10:08:29.004 [Thread-0] INFO  appium - [HTTP] <-- GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e 200 3 ms - 969 
2017-05-27 10:08:29.011 [Thread-0] INFO  appium - [HTTP] --> GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e {}
2017-05-27 10:08:29.011 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.getSession() with args: ["16efe0ef-1bd6-4b9b-8f10-0179ac78710e"]
2017-05-27 10:08:29.012 [Thread-0] INFO  appium - [debug] [MJSONWP] Responding to client with driver.getSession() result: {"platform":"LINUX","webStorageEnabled":false,"takesScreenshot":true,"javascriptEnabled":true,"databaseEnabled":false,"networkConnectionEnabled":true,"locationContextEnabled":false,"warnings":{},"desired":{"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":30,"platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":true,"platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true},"appPackage":"com.ymatou.shop","appActivity":".ui.activity.SplashActivity","noReset":true,"newCommandTimeout":30,"platformVersion":"6.0","automationName":"Appium","browserName":"","unicodeKeyboard":true,"platformName":"Android","deviceName":"INMN8TDIK7QKH6EI","autoAcceptAlerts":true,"deviceUDID":"INMN8TDIK7QKH6EI","deviceScreenSize":"1080x1920","deviceModel":"Redmi Note 4","deviceManufacturer":"Xiaomi"}
2017-05-27 10:08:29.021 [Thread-0] INFO  appium - [HTTP] <-- GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e 200 2 ms - 969 
2017-05-27 10:08:29.023 [Thread-0] INFO  appium - [HTTP] --> GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/window/current/size {}
2017-05-27 10:08:29.024 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.getWindowSize() with args: ["current","16efe0ef-1bd6-4b9b-8f10-0179ac78710e"]
2017-05-27 10:08:29.025 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Sending command to android: {"cmd":"action","action":"getDeviceSize","params":{}}
2017-05-27 10:08:29.030 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got data from client: {"cmd":"action","action":"getDeviceSize","params":{}}
2017-05-27 10:08:29.031 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got command of type ACTION
2017-05-27 10:08:29.032 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got command action: getDeviceSize
2017-05-27 10:08:29.037 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Received command result from bootstrap
2017-05-27 10:08:29.038 [Thread-0] INFO  appium - [debug] [MJSONWP] Responding to client with driver.getWindowSize() result: {"height":1920,"width":1080}
2017-05-27 10:08:29.039 [Thread-0] INFO  appium - [HTTP] <-- GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/window/current/size 200 15 ms - 100 
2017-05-27 10:08:29.039 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Returning result: {"status":0,"value":{"height":1920,"width":1080}}
2017-05-27 10:08:29.041 [Thread-0] INFO  appium - [HTTP] --> GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/window/current/size {}
2017-05-27 10:08:29.042 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.getWindowSize() with args: ["current","16efe0ef-1bd6-4b9b-8f10-0179ac78710e"]
2017-05-27 10:08:29.042 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Sending command to android: {"cmd":"action","action":"getDeviceSize","params":{}}
2017-05-27 10:08:29.044 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got data from client: {"cmd":"action","action":"getDeviceSize","params":{}}
2017-05-27 10:08:29.045 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got command of type ACTION
2017-05-27 10:08:29.045 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got command action: getDeviceSize
2017-05-27 10:08:29.046 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Received command result from bootstrap
2017-05-27 10:08:29.047 [Thread-0] INFO  appium - [debug] [MJSONWP] Responding to client with driver.getWindowSize() result: {"height":1920,"width":1080}
2017-05-27 10:08:29.047 [Thread-0] INFO  appium - [HTTP] <-- GET /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/window/current/size 200 6 ms - 100 
2017-05-27 10:08:29.047 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Returning result: {"status":0,"value":{"height":1920,"width":1080}}
2017-05-27 10:08:29.056 [Thread-0] INFO  appium - [HTTP] --> POST /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/element {"using":"id","value":"com.ymatou.shop:id/tv_follow_button_state"}
2017-05-27 10:08:29.057 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.findElement() with args: ["id","com.ymatou.shop:id/tv_follow_button_state","16efe0ef-1bd6-4b9b-8f10-0179ac78710e"]
2017-05-27 10:08:29.057 [Thread-0] INFO  appium - [debug] [BaseDriver] Valid locator strategies for this request: xpath, id, class name, accessibility id, -android uiautomator
2017-05-27 10:08:29.058 [Thread-0] INFO  appium - [debug] [BaseDriver] Valid locator strategies for this request: xpath, id, class name, accessibility id, -android uiautomator
2017-05-27 10:08:29.058 [Thread-0] INFO  appium - [debug] [BaseDriver] Waiting up to 0 ms for condition
2017-05-27 10:08:29.059 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Sending command to android: {"cmd":"action","action":"find","params":{"strategy":"id","selector":"com.ymatou.shop:id/tv_follow_button_state","context":"","multiple":false}}
2017-05-27 10:08:29.062 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got data from client: {"cmd":"action","action":"find","params":{"strategy":"id","selector":"com.ymatou.shop:id/tv_follow_button_state","context":"","multiple":false}}
2017-05-27 10:08:29.063 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got command of type ACTION
2017-05-27 10:08:29.063 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Got command action: find
2017-05-27 10:08:29.063 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Finding 'com.ymatou.shop:id/tv_follow_button_state' using 'ID' with the contextId: '' multiple: false
2017-05-27 10:08:29.063 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Using: UiSelector[INSTANCE=0, RESOURCE_ID=com.ymatou.shop:id/tv_follow_button_state]
2017-05-27 10:08:29.070 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Failed to locate element. Clearing Accessibility cache and retrying.
2017-05-27 10:08:29.070 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Finding 'com.ymatou.shop:id/tv_follow_button_state' using 'ID' with the contextId: '' multiple: false
2017-05-27 10:08:29.070 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Using: UiSelector[INSTANCE=0, RESOURCE_ID=com.ymatou.shop:id/tv_follow_button_state]
2017-05-27 10:08:29.075 [Thread-0] INFO  appium - [debug] [AndroidBootstrap] Received command result from bootstrap
2017-05-27 10:08:29.078 [Thread-0] INFO  appium - [HTTP] <-- POST /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/element 500 21 ms - 164 
2017-05-27 10:08:29.078 [Thread-0] INFO  appium - [AndroidBootstrap] [BOOTSTRAP LOG] [debug] Returning result: {"status":7,"value":"No element found"}
2017-05-27 10:08:29.593 [Thread-0] INFO  appium - [HTTP] --> POST /wd/hub/session/16efe0ef-1bd6-4b9b-8f10-0179ac78710e/element {"using":"id","value":"com.ymatou.shop:id/tv_follow_button_state"}
2017-05-27 10:08:29.594 [Thread-0] INFO  appium - [debug] [MJSONWP] Calling AppiumDriver.findElement() with args: ["id","com.ymatou.shop:id/tv_follow_button_state","16efe0ef-1bd6-4b9b-8f10-0179ac78710e"]
2017-05-27 10:08:29.594 [Thread-0] INFO  appium - [debug] [BaseDriver] Valid locator strategies for this request: xpath, id, class name, accessibility id, -android uiautomator
2017-05-27 10:08:29.594 [Thread-0] INFO  appium - [debug] [BaseDriver] Valid locator strategies for this request: xpath, id, class name, accessibility id, -android uiautomator
